Date,DRUG,Qty
2017-08-20 00:00:00,Ampicloxa 500mg caps ord(10x10),51
2017-08-21 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2017-08-22 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2017-08-23 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2017-08-24 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2017-08-25 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2017-08-26 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2017-08-27 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2017-08-28 00:00:00,Ampicloxa 500mg caps ord(10x10),22
2017-08-29 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2017-08-30 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2017-08-31 00:00:00,Ampicloxa 500mg caps ord(10x10),43
2017-09-01 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2017-09-02 00:00:00,Ampicloxa 500mg caps ord(10x10),123
2017-09-03 00:00:00,Ampicloxa 500mg caps ord(10x10),77
2017-09-04 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2017-09-05 00:00:00,Ampicloxa 500mg caps ord(10x10),129
2017-09-06 00:00:00,Ampicloxa 500mg caps ord(10x10),42
2017-09-07 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2017-09-08 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2017-09-09 00:00:00,Ampicloxa 500mg caps ord(10x10),56
2017-09-10 00:00:00,Ampicloxa 500mg caps ord(10x10),19
2017-09-11 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2017-09-12 00:00:00,Ampicloxa 500mg caps ord(10x10),12
2017-09-13 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2017-09-14 00:00:00,Ampicloxa 500mg caps ord(10x10),19
2017-09-15 00:00:00,Ampicloxa 500mg caps ord(10x10),26
2017-09-16 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2017-09-17 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2017-09-18 00:00:00,Ampicloxa 500mg caps ord(10x10),100
2017-09-19 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2017-09-20 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2017-09-22 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2017-09-23 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2017-09-24 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2017-09-25 00:00:00,Ampicloxa 500mg caps ord(10x10),20
