DS,Y
20/08/2017,10
21/08/2017,35
22/08/2017,12
23/08/2017,40
24/08/2017,15
26/08/2017,102
27/08/2017,10
29/08/2017,45
31/08/2017,30
01/09/2017,10
03/09/2017,137
04/09/2017,28
07/09/2017,12
08/09/2017,10
09/09/2017,20
10/09/2017,10
11/09/2017,30
12/09/2017,10
13/09/2017,20
14/09/2017,22
15/09/2017,5
16/09/2017,20
17/09/2017,10
19/09/2017,10
20/09/2017,10
21/09/2017,17
22/09/2017,5
24/09/2017,70
25/09/2017,40
26/09/2017,10
27/09/2017,30
28/09/2017,78
29/09/2017,32
30/09/2017,105
01/10/2017,22
02/10/2017,10
03/10/2017,36
04/10/2017,20
05/10/2017,3
06/10/2017,5
07/10/2017,60
08/10/2017,35
09/10/2017,15
10/10/2017,54
11/10/2017,5
12/10/2017,24
13/10/2017,14
14/10/2017,24
15/10/2017,20
16/10/2017,16
18/10/2017,11
19/10/2017,10
20/10/2017,50
22/10/2017,15
23/10/2017,32
24/10/2017,30
25/10/2017,30
27/10/2017,21
28/10/2017,10
29/10/2017,2
30/10/2017,70
31/10/2017,86
01/11/2017,5
03/11/2017,5
04/11/2017,9
05/11/2017,24
06/11/2017,15
08/11/2017,10
11/11/2017,6
12/11/2017,12
13/11/2017,50
14/11/2017,20
16/11/2017,50
17/11/2017,65
18/11/2017,28
19/11/2017,5
20/11/2017,50
21/11/2017,60
22/11/2017,30
23/11/2017,10
24/11/2017,170
25/11/2017,10
26/11/2017,24
27/11/2017,22
30/11/2017,7
01/12/2017,20
02/12/2017,90
03/12/2017,15
04/12/2017,10
05/12/2017,22
06/12/2017,28
07/12/2017,22
08/12/2017,35
09/12/2017,14
10/12/2017,20
12/12/2017,10
13/12/2017,1
15/12/2017,5
16/12/2017,9
18/12/2017,5
19/12/2017,25
20/12/2017,2
21/12/2017,20
22/12/2017,10
23/12/2017,10
24/12/2017,7
25/12/2017,20
29/12/2017,20
31/12/2017,35
01/01/2018,18
03/01/2018,10
04/01/2018,5
05/01/2018,5
06/01/2018,62
07/01/2018,22
08/01/2018,10
09/01/2018,10
10/01/2018,140
11/01/2018,2
13/01/2018,10
