Date,Total Sales
20/08/2017,438300
21/08/2017,546900
22/08/2017,533400
23/08/2017,684400
24/08/2017,954600
25/08/2017,533200
26/08/2017,548400
27/08/2017,396500
28/08/2017,783800
29/08/2017,759400
30/08/2017,558700
31/08/2017,506600
01/09/2017,604700
02/09/2017,463000
03/09/2017,686800
04/09/2017,375500
05/09/2017,659500
06/09/2017,581400
07/09/2017,518900
08/09/2017,676800
09/09/2017,664300
10/09/2017,441600
11/09/2017,517800
12/09/2017,683800
13/09/2017,353100
14/09/2017,438400
15/09/2017,475200
16/09/2017,411200
17/09/2017,576500
18/09/2017,625900
19/09/2017,490400
20/09/2017,402200
21/09/2017,659700
22/09/2017,607200
23/09/2017,521500
24/09/2017,588400
25/09/2017,585600
26/09/2017,655700
27/09/2017,518100
28/09/2017,628200
29/09/2017,605100
30/09/2017,567600
01/10/2017,536400
02/10/2017,475100
03/10/2017,475800
04/10/2017,495300
05/10/2017,611000
06/10/2017,661200
07/10/2017,872700
08/10/2017,762300
09/10/2017,508600
10/10/2017,572400
11/10/2017,463400
12/10/2017,562900
13/10/2017,599100
14/10/2017,716200
15/10/2017,685000
16/10/2017,774000
17/10/2017,599200
18/10/2017,648400
19/10/2017,725900
20/10/2017,678500
21/10/2017,631500
22/10/2017,641800
23/10/2017,788000
24/10/2017,595400
25/10/2017,677200
26/10/2017,681700
27/10/2017,861900
28/10/2017,589500
29/10/2017,469000
30/10/2017,447100
31/10/2017,564500
01/11/2017,278300
02/11/2017,643900
03/11/2017,552900
04/11/2017,496600
05/11/2017,442200
06/11/2017,555500
07/11/2017,483400
08/11/2017,375800
09/11/2017,585500
10/11/2017,548100
11/11/2017,682900
12/11/2017,491900
13/11/2017,518600
14/11/2017,753400
15/11/2017,491300
16/11/2017,423700
17/11/2017,552000
18/11/2017,633100
19/11/2017,409900
20/11/2017,557800
21/11/2017,566100
22/11/2017,626200
23/11/2017,672200
24/11/2017,581900
25/11/2017,632100
26/11/2017,517400
27/11/2017,811000
28/11/2017,531300
29/11/2017,514900
30/11/2017,615200
01/12/2017,660800
02/12/2017,1007000
03/12/2017,736800
04/12/2017,790800
05/12/2017,991300
06/12/2017,830300
07/12/2017,629500
08/12/2017,703700
09/12/2017,651800
10/12/2017,555900
11/12/2017,558900
12/12/2017,595900
13/12/2017,525500
14/12/2017,620200
15/12/2017,569400
16/12/2017,479700
17/12/2017,577000
18/12/2017,542400
19/12/2017,533500
20/12/2017,437400
21/12/2017,438800
22/12/2017,578500
23/12/2017,522500
24/12/2017,537700
25/12/2017,462800
26/12/2017,615400
27/12/2017,680100
28/12/2017,438600
29/12/2017,412400
30/12/2017,531100
31/12/2017,618500
01/01/2018,383900
02/01/2018,511800
03/01/2018,527800
04/01/2018,750500
05/01/2018,539800
06/01/2018,474200
07/01/2018,623100
08/01/2018,438800
09/01/2018,730100
10/01/2018,589600
11/01/2018,573400
12/01/2018,529900
13/01/2018,424700
14/01/2018,408900
15/01/2018,487400
16/01/2018,505800
17/01/2018,630600
18/01/2018,495300
19/01/2018,487500
20/01/2018,593100
21/01/2018,537400
22/01/2018,588000
23/01/2018,762600
24/01/2018,558100
25/01/2018,740500
26/01/2018,575600
27/01/2018,476500
28/01/2018,541900
29/01/2018,564500
30/01/2018,555500
31/01/2018,537700
01/02/2018,552400
02/02/2018,608100
03/02/2018,520100
04/02/2018,458700
05/02/2018,659800
06/02/2018,529700
07/02/2018,466000
08/02/2018,605800
09/02/2018,516300
10/02/2018,645800
11/02/2018,355600
12/02/2018,596500
13/02/2018,539700
14/02/2018,589100
15/02/2018,403300
16/02/2018,418400
17/02/2018,473900
18/02/2018,515900
19/02/2018,574400
20/02/2018,528300
21/02/2018,522700
22/02/2018,510200
23/02/2018,464600
24/02/2018,396600
25/02/2018,531300
26/02/2018,605900
27/02/2018,509900
28/02/2018,554000
01/03/2018,556900
02/03/2018,474600
03/03/2018,565000
04/03/2018,640900
05/03/2018,564500
06/03/2018,612300
07/03/2018,575400
08/03/2018,488500
09/03/2018,701100
10/03/2018,527000
11/03/2018,459300
12/03/2018,462000
13/03/2018,413500
14/03/2018,443700
15/03/2018,427200
16/03/2018,640100
17/03/2018,379900
18/03/2018,399600
19/03/2018,590900
20/03/2018,474900
21/03/2018,446200
22/03/2018,442600
23/03/2018,659300
24/03/2018,470000
25/03/2018,531200
26/03/2018,492700
27/03/2018,451300
28/03/2018,438600
29/03/2018,543200
30/03/2018,452100
31/03/2018,603100
01/04/2018,611400
02/04/2018,570600
03/04/2018,450500
04/04/2018,408100
05/04/2018,498300
06/04/2018,508800
07/04/2018,544300
08/04/2018,430000
09/04/2018,704800
10/04/2018,656100
11/04/2018,445500
12/04/2018,345700
13/04/2018,536100
14/04/2018,415900
15/04/2018,642600
16/04/2018,688000
17/04/2018,475700
18/04/2018,488800
19/04/2018,577900
20/04/2018,371200
21/04/2018,528300
22/04/2018,558700
23/04/2018,617400
24/04/2018,704500
25/04/2018,491100
26/04/2018,636300
27/04/2018,606400
28/04/2018,445600
29/04/2018,463800
30/04/2018,461500
01/05/2018,428500
02/05/2018,486900
03/05/2018,581600
04/05/2018,510100
05/05/2018,523100
06/05/2018,586500
07/05/2018,658600
08/05/2018,639900
09/05/2018,590200
10/05/2018,527700
11/05/2018,468200
12/05/2018,475300
13/05/2018,584400
14/05/2018,445800
15/05/2018,387900
16/05/2018,482900
17/05/2018,389500
18/05/2018,607300
19/05/2018,404300
20/05/2018,383900
21/05/2018,304400
22/05/2018,476700
23/05/2018,355000
24/05/2018,321400
25/05/2018,393100
26/05/2018,395300
27/05/2018,354400
28/05/2018,496500
29/05/2018,669800
30/05/2018,572200
31/05/2018,354400
01/06/2018,410400
02/06/2018,425100
03/06/2018,580000
04/06/2018,656100
05/06/2018,714500
06/06/2018,609200
07/06/2018,355700
08/06/2018,577400
09/06/2018,631400
10/06/2018,519100
11/06/2018,569000
12/06/2018,690700
13/06/2018,542100
14/06/2018,738800
15/06/2018,627700
16/06/2018,630100
17/06/2018,501200
18/06/2018,614300
19/06/2018,873600
20/06/2018,599700
21/06/2018,645100
22/06/2018,819400
23/06/2018,774800
24/06/2018,698400
25/06/2018,474300
26/06/2018,792200
27/06/2018,461900
28/06/2018,569900
29/06/2018,602400
30/06/2018,664300
01/07/2018,543700
02/07/2018,584200
03/07/2018,488900
04/07/2018,664300
05/07/2018,531000
06/07/2018,925900
07/07/2018,613600
08/07/2018,724400
09/07/2018,752000
10/07/2018,542900
11/07/2018,540800
12/07/2018,689100
13/07/2018,617000
14/07/2018,576700
15/07/2018,588100
16/07/2018,937900
17/07/2018,802900
18/07/2018,597200
19/07/2018,547300
20/07/2018,632700
21/07/2018,521100
22/07/2018,556800
23/07/2018,705200
24/07/2018,609400
25/07/2018,746300
26/07/2018,563500
27/07/2018,435400
28/07/2018,611000
29/07/2018,447400
30/07/2018,619700
31/07/2018,501600
01/08/2018,599600
02/08/2018,647500
03/08/2018,606500
04/08/2018,630600
05/08/2018,537600
06/08/2018,417700
07/08/2018,762300
08/08/2018,637600
09/08/2018,760500
10/08/2018,629000
11/08/2018,547900
12/08/2018,538200
13/08/2018,801300
14/08/2018,861800
15/08/2018,656500
16/08/2018,728500
17/08/2018,479000
